#TYPE Selected.OleViewDotNet.Database.COMRuntimeServerEntry
"Identity","Name","ServiceName","ExePath","ExeName","Permissions","HasPermission","IdentityType","ServerType","InstancingType","Classes","ClassCount","PackageId","RuntimeServer","Source","DefaultAccessPermission","DefaultLaunchPermission"
"nt authority\system","AgentActivationRuntime","AarSvc","","","O:PSG:BUD:(A;;CCDCSW;;;SY)(A;;CCDCSW;;;LS)(A;;CCDCSW;;;IU)(A;;CCDCSW;;;AC)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","3","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","AssignedAccessManagerSvc","AssignedAccessManagerSvc","","","O:PSG:BUD:(A;;CCDCSW;;;SY)(A;;CCDCSW;;;LS)(A;;CCDCSW;;;IU)(A;;CCDCSW;;;AC)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","3","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","BcastDVRUserService","BcastDVRUserService","","","O:PSG:BUD:(A;;CCDCLCSWRP;;;AC)(A;;CCDCLCSWRP;;;WD)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","24","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\localservice","BTAGService","BTAGService","","","O:PSG:BUD:(A;;CCDCSW;;;AU)(A;;CCDCSW;;;S-1-5-80-2636612206-2079418197-1004231589-1812192203-4197254245)(A;;CCDCSW;;;AC)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","2","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\localservice","BthAvctpsvc","BthAvctpsvc","","","O:PSG:BUD:(A;;CCDCSW;;;WD)(A;;CCDCSW;;;AC)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","1","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\localservice","bthserv","bthserv","","","O:PSG:BUD:(A;;CCDCLCSWRP;;;AC)(A;;CCDCLCSWRP;;;WD)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","15","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","camsvc","camsvc","","","O:PSG:BUD:(A;;CCDCLCSWRP;;;WD)(A;;CCDCLCSWRP;;;AC)(A;;CCDCLCSWRP;;;S-1-15-3-1024-1502825166-1963708345-2616377461-2562897074-4192028372-3968301570-1997628692-1435953622)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","4","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","CaptureService","CaptureService","","","O:PSG:BUD:(A;;CCDCSW;;;SY)(A;;CCDCSW;;;LS)(A;;CCDCSW;;;IU)(A;;CCDCSW;;;S-1-15-3-1024-955681297-3470559067-873149510-312866181-505149074-2965990245-3641224364-480676545)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","2","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\localservice","CBDHSvc","CBDHSvc","","","O:PSG:BUD:(A;;CCDCSW;;;AU)(A;;CCDCSW;;;AC)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","8","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\localservice","CDPSvc","CDPSvc","","","O:PSG:BUD:(A;;CCDCSWWPDT;;;IU)(A;;CCDCLCSWRPWPDT;;;AC)(A;;CCDCLCSWRP;;;WD)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","7","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","ConsentUxUserSvc","ConsentUxUserSvc","","","O:PSG:BUD:(A;;CCDCSW;;;SY)(A;;CCDCSW;;;LS)(A;;CCDCSW;;;IU)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","2","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","CredentialEnrollmentManagerUserSvc","CredentialEnrollmentManagerUserSvc","","","O:PSG:BUD:(A;;CCDCSW;;;AU)(A;;CCDCSW;;;AC)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","4","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","CrossContainerCamSvc","camsvc","","","O:PSG:BUD:(A;;CCDCLCSWWPDT;;;WD)(A;;CCDCLCSWWPDT;;;AC)(A;;CCDCLCSWWPDT;;;S-1-15-3-1024-1502825166-1963708345-2616377461-2562897074-4192028372-3968301570-1997628692-1435953622)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","1","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","DeviceAssociationBrokerSvc","DeviceAssociationBrokerSvc","","","O:PSG:BUD:(A;;CCDCLCSWRP;;;WD)(A;;CCDCLCSWRP;;;AC)(A;;CCDCLCSWRP;;;S-1-15-3-1024-1502825166-1963708345-2616377461-2562897074-4192028372-3968301570-1997628692-1435953622)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","1","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","DevicePickerUserSvc","DevicePickerUserSvc","","","O:PSG:BUD:(A;;CCDCSW;;;SY)(A;;CCDCSW;;;LS)(A;;CCDCSW;;;IU)(A;;CCDCSW;;;AC)(A;;CCDCSW;;;S-1-5-21-2702878673-795188819-444038987-2781)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","2","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","DevicesFlowUserSvc","DevicesFlowUserSvc","","","O:PSG:BUD:(A;;CCDCSW;;;SY)(A;;CCDCSW;;;LS)(A;;CCDCSW;;;IU)(A;;CCDCSW;;;AC)(A;;CCDCSW;;;S-1-5-21-2702878673-795188819-444038987-2781)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","4","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\localservice","DispBrokerDesktopSvc","DispBrokerDesktopSvc","","","O:PSG:BUD:(A;;CCDCSW;;;SY)(A;;CCDCSW;;;LS)(A;;CCDCSW;;;IU)(A;;CCDCSW;;;AC)(A;;CCDCSW;;;BA)(A;;CCDCSW;;;S-1-5-90-0)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","2","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","EnrollmentServer","DmEnrollmentSvc","","","O:SYG:SYD:(A;;CCDCSW;;;IU)(A;;0x111fffff;;;SY)(A;;0x111fffff;;;BA)(A;;CCDCSW;;;S-1-5-32-1813308025-3893443517-2936766468-3261773091-2430119119-317633435-1602637770-2843472530)(A;;CCDCSW;;;S-1-15-3-1024-1813308025-3893443517-2936766468-3261773091-2430119119-317633435-1602637770-2843472530)S:","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","11","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","InstallService","InstallService","","","O:PSG:BUD:(A;;CCDCSW;;;AC)(A;;CCDCSW;;;WD)(A;;CCDCWP;;;AN)(A;;CCWPDT;;;AN)S:(ML;;NX;;;S-1-16-0)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","2","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
