#TYPE Selected.OleViewDotNet.Database.COMTypeLibVersionEntry
"TypelibId","Version","Name","Win32Path","Win64Path","Locale","Source","NativePath","ComGuid"
"09c6a793-92dc-4d27-a11d-3921c9314ded","1.0","EditionUpgradeHelper 1.0 Type Library",,"C:\Windows\System32\EditionUpgradeHelper.dll","0","LocalMachine","C:\Windows\System32\EditionUpgradeHelper.dll","09c6a793-92dc-4d27-a11d-3921c9314ded"
"0a055c02-babe-4480-bb7b-a8ec723ce9c0","1.0","SHGINA 1.0 Type Library","C:\Windows\system32\shgina.dll",,"0","LocalMachine","C:\Windows\system32\shgina.dll","0a055c02-babe-4480-bb7b-a8ec723ce9c0"
"0e59f1d2-1fbe-11d0-8ff2-00a0d10038bc","1.0","Microsoft Script Control 1.0","C:\Windows\SysWOW64\msscript.ocx",,"0","LocalMachine","C:\Windows\SysWOW64\msscript.ocx","0e59f1d2-1fbe-11d0-8ff2-00a0d10038bc"
"0fff9602-69cf-4728-9ea4-141514866ca2","1.0","Find Printers type library","C:\Windows\SysWOW64\findnetprinters.dll","C:\Windows\System32\findnetprinters.dll","0","LocalMachine","C:\Windows\System32\findnetprinters.dll","0fff9602-69cf-4728-9ea4-141514866ca2"
"10e3a8c1-b46c-4b6c-b3ef-8e2f48d527d0","1.0","SPP WMI Provider 1.0 Type Library","C:\Windows\System32\sppwmi.dll",,"0","LocalMachine","C:\Windows\System32\sppwmi.dll","10e3a8c1-b46c-4b6c-b3ef-8e2f48d527d0"
"11a8b8ee-bf30-409a-8ef7-3a143ef70332","1.0","azroles 1.0 Type Library","C:\Windows\system32\azroles.dll",,"0","LocalMachine","C:\Windows\system32\azroles.dll","11a8b8ee-bf30-409a-8ef7-3a143ef70332"
"11dd5ea9-f8db-4f6e-bf7c-6aadba404a3d","1.0","ndfapi 1.0 Type Library","C:\Windows\SysWOW64\ndfapi.dll","C:\Windows\System32\ndfapi.dll","0","LocalMachine","C:\Windows\System32\ndfapi.dll","11dd5ea9-f8db-4f6e-bf7c-6aadba404a3d"
"121932ad-6881-46e4-bca8-9155a87e77f9","1.0","UIProxy 1.0 Type Library","C:\Windows\SysWOW64\wlidcli.dll","C:\Windows\System32\wlidcli.dll","0","LocalMachine","C:\Windows\System32\wlidcli.dll","121932ad-6881-46e4-bca8-9155a87e77f9"
"122f1bb4-2723-4ac2-a36a-16bb9e8b99a6","1.0","netcenter LUA 1.0 Type Library","C:\Windows\system32\netcenter.dll","C:\Windows\system32\netcenter.dll","0","LocalMachine","C:\Windows\system32\netcenter.dll","122f1bb4-2723-4ac2-a36a-16bb9e8b99a6"
"12341570-f93b-4abd-8a6d-4ecf01209939","1.0","SDClient Connection Handler 1.0 Type Library","C:\Windows\system32\sdclient.dll",,"0","LocalMachine","C:\Windows\system32\sdclient.dll","12341570-f93b-4abd-8a6d-4ecf01209939"
"13199c00-7494-11d0-8816-00a0c903b83c","1.0","CertEnc 1.0 Type Library","C:\Windows\system32\certenc.dll",,"0","LocalMachine","C:\Windows\system32\certenc.dll","13199c00-7494-11d0-8816-00a0c903b83c"
"131e6380-e61b-11d2-a771-00a0c922e79c","1.0","InetMgr 6.0 Type Library",,"C:\Windows\System32\inetsrv\inetmgr.dll","0","LocalMachine","C:\Windows\System32\inetsrv\inetmgr.dll","131e6380-e61b-11d2-a771-00a0c922e79c"
"132b42fb-871b-4077-ae2e-bf7fd772385e","1.0","Hyper-V Application Health Monitor Type Library",,"C:\Windows\System32\icsvc.dll","0","LocalMachine","C:\Windows\System32\icsvc.dll","132b42fb-871b-4077-ae2e-bf7fd772385e"
"150e2d7a-dac1-4582-947d-2a8fd78b82cd","1.0","MSAAText 1.0 Type Library","C:\Windows\System32\msaatext.dll",,"0","LocalMachine","C:\Windows\System32\msaatext.dll","150e2d7a-dac1-4582-947d-2a8fd78b82cd"
"15ae3a36-e53b-454d-a816-a7c61cbab8a4","1.0","Winsat 1.0 Type Library","C:\Windows\system32\WinSATAPI.dll",,"0","LocalMachine","C:\Windows\system32\WinSATAPI.dll","15ae3a36-e53b-454d-a816-a7c61cbab8a4"
"1878a0bc-b9a1-4bd0-b67e-be35ede35a96","1.0","Definition: Internal API for MBAE Type Library.","C:\Windows\SysWOW64\MbaeApi.dll","C:\Windows\System32\MbaeApi.dll","0","LocalMachine","C:\Windows\System32\MbaeApi.dll","1878a0bc-b9a1-4bd0-b67e-be35ede35a96"
"19dba6c8-ee0a-4f6d-b336-5e6a16d931ee","1.0","OleConverter 1.0 Type Library",,"C:\Program Files\Microsoft\Exchange Server\V15\Bin\OleConverter.exe","0","LocalMachine","C:\Program Files\Microsoft\Exchange Server\V15\Bin\OleConverter.exe","19dba6c8-ee0a-4f6d-b336-5e6a16d931ee"
"1b773e42-2509-11cf-942f-008029004347","3.7","System Monitor Control",,"C:\Windows\System32\sysmon.ocx","0","LocalMachine","C:\Windows\System32\sysmon.ocx","1b773e42-2509-11cf-942f-008029004347"
"1b8d8ae1-a595-4687-a7ad-9e3828e09b79","1.0","WorkspaceRuntime 1.0 Type Library","C:\Windows\system32\wksprt.exe",,"0","LocalMachine","C:\Windows\system32\wksprt.exe","1b8d8ae1-a595-4687-a7ad-9e3828e09b79"
"1c067435-6110-42b7-8171-ed3832970a14","1.0","LicenseInfoInterfaceLib",,"C:\Program Files\Microsoft\Exchange Server\V15\FIP-FS\Bin\LicenseInfoInterface.dll","0","LocalMachine","C:\Program Files\Microsoft\Exchange Server\V15\FIP-FS\Bin\LicenseInfoInterface.dll","1c067435-6110-42b7-8171-ed3832970a14"
"1c565858-f302-471e-b409-f180aa4abec6","1.0","NATUPnP 1.0 Type Library","C:\Windows\System32\hnetcfg.dll\2",,"0","LocalMachine","C:\Windows\System32\hnetcfg.dll\2","1c565858-f302-471e-b409-f180aa4abec6"
"1c82ead8-508e-11d1-8dcf-00c04fb951f9","1.0","Microsoft MIMEEDIT Type Library 1.0","C:\Windows\SysWOW64\inetcomm.dll","C:\Windows\System32\inetcomm.dll","0","LocalMachine","C:\Windows\System32\inetcomm.dll","1c82ead8-508e-11d1-8dcf-00c04fb951f9"
"1ea4dbf0-3c3b-11cf-810c-00aa00389b71","1.1","Accessibility","C:\Windows\SysWOW64\oleacc.dll","C:\Windows\System32\oleacc.dll","0","LocalMachine","C:\Windows\System32\oleacc.dll","1ea4dbf0-3c3b-11cf-810c-00aa00389b71"
"1f001332-1a57-4934-be31-affc99f4ee0a","1.0","PortableDeviceApi 1.0 Type Library","C:\Windows\SysWOW64\PortableDeviceApi.dll","C:\Windows\System32\PortableDeviceApi.dll","0","LocalMachine","C:\Windows\System32\PortableDeviceApi.dll","1f001332-1a57-4934-be31-affc99f4ee0a"
"1fda955a-61ff-11da-978c-0008744faab7","1.0","dtsh 1.0 Type Library","C:\Windows\system32\dtsh.dll","C:\Windows\system32\dtsh.dll","0","LocalMachine","C:\Windows\system32\dtsh.dll","1fda955a-61ff-11da-978c-0008744faab7"
"204810b3-73b2-11d4-bf42-00b0d0118b56","1.0","UPnP 1.0 Type Library (Device Host)","C:\Windows\system32\upnpcont.exe",,"0","LocalMachine","C:\Windows\system32\upnpcont.exe","204810b3-73b2-11d4-bf42-00b0d0118b56"
"211abd90-eccb-4a40-a171-0dd1a143658a","1.0","MSWC IIS App Host Navigator Library",,"C:\Windows\System32\inetsrv\AppHostNavigators.dll","0","LocalMachine","C:\Windows\System32\inetsrv\AppHostNavigators.dll","211abd90-eccb-4a40-a171-0dd1a143658a"
"215d64d2-031c-33c7-96e3-61794cd1ee61","2.0","System_Windows_Forms","C:\Windows\Microsoft.NET\Framework\v2.0.50727\System.Windows.Forms.tlb","C:\Windows\Microsoft.NET\Framework64\v2.0.50727\System.Windows.Forms.tlb","0","LocalMachine","C:\Windows\Microsoft.NET\Framework64\v2.0.50727\System.Windows.Forms.tlb","215d64d2-031c-33c7-96e3-61794cd1ee61"
"215d64d2-031c-33c7-96e3-61794cd1ee61","2.4","System_Windows_Forms","C:\Windows\Microsoft.NET\Framework\v4.0.30319\System.Windows.Forms.tlb","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\System.Windows.Forms.tlb","0","LocalMachine","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\System.Windows.Forms.tlb","215d64d2-031c-33c7-96e3-61794cd1ee61"
"21d6d480-a88b-11d0-83dd-00aa003ccabd","1.0","Microsoft TAPI 3.0 Type Library","C:\Windows\System32\tapi3.dll",,"0","LocalMachine","C:\Windows\System32\tapi3.dll","21d6d480-a88b-11d0-83dd-00aa003ccabd"
"2206ceb0-19c1-11d1-89e0-00c04fd7a829","1.0","Microsoft OLE DB Service Component 1.0 Type Library","C:\Program Files (x86)\Common Files\System\Ole DB\oledb32.dll","C:\Program Files\Common Files\System\Ole DB\oledb32.dll","0","LocalMachine","C:\Program Files\Common Files\System\Ole DB\oledb32.dll","2206ceb0-19c1-11d1-89e0-00c04fd7a829"
"22813728-8bd3-11d0-b4ef-00a0c9138ca4","2.8","Microsoft ActiveX Data Objects (Multi-dimensional) 2.8 Library","C:\Program Files (x86)\Common Files\System\ado\msadomd28.tlb","C:\Program Files\Common Files\System\ado\msadomd28.tlb","0","LocalMachine","C:\Program Files\Common Files\System\ado\msadomd28.tlb","22813728-8bd3-11d0-b4ef-00a0c9138ca4"
"22813728-8bd3-11d0-b4ef-00a0c9138ca4","6.0","Microsoft ActiveX Data Objects (Multi-dimensional) 6.0 Library","C:\Program Files (x86)\Common Files\System\ado\msadomd.dll","C:\Program Files\Common Files\System\ado\msadomd.dll","0","LocalMachine","C:\Program Files\Common Files\System\ado\msadomd.dll","22813728-8bd3-11d0-b4ef-00a0c9138ca4"
"22d6f304-b0f6-11d0-94ab-0080c74c7e95","1.0","Windows Media Player","C:\Windows\System32\msdxm.tlb",,"0","LocalMachine","C:\Windows\System32\msdxm.tlb","22d6f304-b0f6-11d0-94ab-0080c74c7e95"
"2358c810-62ba-11d1-b3db-00600832c573","4.0","JET Expression Service Type Library","C:\Windows\SysWOW64\msjtes40.dll",,"0","LocalMachine","C:\Windows\SysWOW64\msjtes40.dll","2358c810-62ba-11d1-b3db-00600832c573"
"2518e514-ebe3-4284-bcb6-e77fa7d84882","1.0","IME Dictionary API 1.0 Type Library","C:\Windows\SysWOW64\IME\IMEJP\imjpdapi.dll","C:\Windows\System32\IME\IMEJP\imjpdapi.dll","0","LocalMachine","C:\Windows\System32\IME\IMEJP\imjpdapi.dll","2518e514-ebe3-4284-bcb6-e77fa7d84882"
"2735412f-7f64-5b0f-8f00-5d77afbe261e","1.0","Microsoft IMAPI2 Base Functionality",,"C:\Windows\System32\imapi2.dll","0","LocalMachine","C:\Windows\System32\imapi2.dll","2735412f-7f64-5b0f-8f00-5d77afbe261e"
"28dcd85b-aca4-11d0-a028-00aa00b605a4","1.0","TAPI3 Terminal Manager 1.0 Type Library","C:\Windows\System32\termmgr.dll",,"0","LocalMachine","C:\Windows\System32\termmgr.dll","28dcd85b-aca4-11d0-a028-00aa00b605a4"
"2909004a-90c2-4937-a407-2df113c6a0cc","1.0","EditionUpgradeManager 1.0 Type Library",,"C:\Windows\System32\EditionUpgradeManagerObj.dll","0","LocalMachine","C:\Windows\System32\EditionUpgradeManagerObj.dll","2909004a-90c2-4937-a407-2df113c6a0cc"
"2a005c00-a5de-11cf-9e66-00aa00a3f464","1.0","COM+ Services Type Library","C:\Windows\SysWOW64\comsvcs.dll","C:\Windows\System32\comsvcs.dll","0","LocalMachine","C:\Windows\System32\comsvcs.dll","2a005c00-a5de-11cf-9e66-00aa00a3f464"
"2a56ea30-afeb-11d1-9868-00a0c922e703","1.0","Active DS IIS Extension Dll","C:\Windows\SysWow64\inetsrv\iisext.dll","C:\Windows\System32\inetsrv\iisext.dll","0","LocalMachine","C:\Windows\System32\inetsrv\iisext.dll","2a56ea30-afeb-11d1-9868-00a0c922e703"
"2a75196c-d9eb-4129-b803-931327f72d5c","2.8","Microsoft ActiveX Data Objects 2.8 Library","C:\Program Files (x86)\Common Files\System\ado\msado28.tlb","C:\Program Files\Common Files\System\ado\msado28.tlb","0","LocalMachine","C:\Program Files\Common Files\System\ado\msado28.tlb","2a75196c-d9eb-4129-b803-931327f72d5c"
"2b00ba2f-e750-4beb-9235-97142ede1d3e","1.0","PortableDeviceTypes 1.0 Type Library","C:\Windows\SysWOW64\PortableDeviceTypes.dll","C:\Windows\System32\PortableDeviceTypes.dll","0","LocalMachine","C:\Windows\System32\PortableDeviceTypes.dll","2b00ba2f-e750-4beb-9235-97142ede1d3e"
"2c941fd0-975b-59be-a960-9a2a262853a5","1.0","Microsoft IMAPI2 File System Image Creator",,"C:\Windows\System32\imapi2fs.dll","0","LocalMachine","C:\Windows\System32\imapi2fs.dll","2c941fd0-975b-59be-a960-9a2a262853a5"
"2d4baa21-a123-4c97-aa2e-23a7836de1d0","2.0","CPrepSrv 2.0 Type Library","C:\Windows\SysWOW64\cprepsrv.dll","C:\Windows\System32\cprepsrv.dll","0","LocalMachine","C:\Windows\System32\cprepsrv.dll","2d4baa21-a123-4c97-aa2e-23a7836de1d0"
"2e7d6a71-56ce-4a77-b58f-05dfff85e251","1.0","TabBtnEx 1.0 Type Library",,"C:\Windows\System32\TabBtnEx.dll","0","LocalMachine","C:\Windows\System32\TabBtnEx.dll","2e7d6a71-56ce-4a77-b58f-05dfff85e251"
"2f422a0e-7be4-49a4-aece-324720ba0f19","1.0","",,"C:\Program Files\Microsoft\Exchange Server\V15\Bin\ForefrontActiveDirectoryConnector.exe","0","LocalMachine","C:\Program Files\Microsoft\Exchange Server\V15\Bin\ForefrontActiveDirectoryConnector.exe","2f422a0e-7be4-49a4-aece-324720ba0f19"
"2ffdc44d-1269-4e67-9bc0-2486240e97f8","1.0","PrinterCustomActionsLib",,"C:\Windows\System32\Microsoft.Uev.PrinterCustomActions.dll","0","LocalMachine","C:\Windows\System32\Microsoft.Uev.PrinterCustomActions.dll","2ffdc44d-1269-4e67-9bc0-2486240e97f8"
"3050f1c5-98b5-11cf-bb82-00aa00bdce0b","4.0","Microsoft HTML Object Library","C:\Windows\SysWOW64\mshtml.tlb","C:\Windows\System32\mshtml.tlb","0","LocalMachine","C:\Windows\System32\mshtml.tlb","3050f1c5-98b5-11cf-bb82-00aa00bdce0b"
